Date,AAPL,MSFT,NVDA,TSM
2023-01-03,123.7684555053711,235.71170043945312,14.304594039916992,71.8322525024414
2023-01-04,125.0450439453125,225.4009246826172,14.738280296325684,74.05427551269531
2023-01-05,123.71897888183594,218.72055053710938,14.254632949829102,73.48179626464844
2023-01-06,128.27110290527344,221.2982177734375,14.848199844360352,75.7523193359375
2023-01-09,128.79556274414062,223.45289611816406,15.616640090942383,77.92581939697266
2023-01-10,129.36953735351562,225.15496826171875,15.897436141967773,78.85730743408203
2023-01-11,132.100830078125,231.96322631835938,15.989368438720703,79.35218048095703
2023-01-12,132.02166748046875,234.65896606445312,16.498998641967773,84.4172134399414
2023-01-13,133.35763549804688,235.36734008789062,16.886716842651367,84.22315979003906
2023-01-17,134.52536010742188,236.46926879882812,17.689132690429688,86.34813690185547
2023-01-18,133.8029327392578,232.0025634765625,17.364370346069336,86.81389617919922
2023-01-19,133.86231994628906,228.1852264404297,16.75281524658203,85.7756576538086
2023-01-20,136.4352264404297,236.3413848876953,17.826034545898438,88.32757568359375
2023-01-23,139.64154052734375,238.66326904296875,19.179048538208008,92.82012939453125
2023-01-24,141.04673767089844,238.13197326660156,19.250995635986328,91.75276947021484
2023-01-25,140.3837432861328,236.72508239746094,19.3089542388916,89.66661071777344
2023-01-26,142.46188354492188,243.99575805664062,19.78760528564453,90.67573547363281
2023-01-27,144.411376953125,244.1531982421875,20.35019874572754,90.53018188476562
2023-01-30,141.5118865966797,238.79116821289062,19.148073196411133,90.36522674560547
2023-01-31,142.7884521484375,243.80880737304688,19.522802352905273,89.97711181640625
2023-02-01,143.91659545898438,248.66905212402344,20.927780151367188,91.92743682861328
2023-02-02,149.25050354003906,260.3277282714844,21.693218231201172,93.7807388305664
2023-02-03,152.89218139648438,254.1786651611328,21.084665298461914,91.84980773925781
2023-02-06,150.15101623535156,252.62413024902344,21.073673248291016,89.10382080078125
2023-02-07,153.04063415527344,263.2399597167969,22.156885147094727,91.74308013916016
2023-02-08,150.3390350341797,262.42340087890625,22.188858032226562,91.48108673095703
2023-02-09,149.2999725341797,259.3635559082031,22.320762634277344,93.8195571899414
2023-02-10,149.66668701171875,258.8519287109375,21.249542236328125,92.53873443603516
2023-02-13,152.48141479492188,266.93927001953125,21.77216148376465,93.25675964355469
2023-02-14,151.83718872070312,267.7755126953125,22.954303741455078,95.05184173583984
2023-02-15,153.94825744628906,265.63519287109375,22.747451782226562,90.00621795654297
2023-02-16,152.34266662597656,258.56329345703125,21.986005783081055,88.12381744384766
2023-02-17,151.1929931640625,254.5292510986328,21.372455596923828,87.42517852783203
2023-02-21,147.15919494628906,249.21299743652344,20.639986038208008,85.0382080078125
2023-02-22,147.58534240722656,248.06887817382812,20.738916397094727,84.25225830078125
2023-02-23,148.07098388671875,251.28427124023438,23.64679718017578,87.40577697753906
2023-02-24,145.40493774414062,245.8102264404297,23.26907730102539,85.49425506591797
2023-02-27,146.60415649414062,246.7373504638672,23.483915328979492,84.70829772949219
2023-02-28,146.0987091064453,246.00746154785156,23.199125289916992,84.48513793945312
2023-03-01,144.01739501953125,242.90057373046875,22.681499481201172,85.79505157470703
2023-03-02,144.61204528808594,247.67433166503906,23.297056198120117,86.38694763183594
2023-03-03,149.68649291992188,251.79713439941406,23.872634887695312,87.12437438964844
2023-03-06,152.46160888671875,253.35556030273438,23.536880493164062,86.9206314086914
2023-03-07,150.25144958496094,250.67276000976562,23.2750244140625,86.21228790283203
2023-03-08,151.5101318359375,250.2288818359375,24.167530059814453,88.13351440429688
2023-03-09,149.2504119873047,248.86781311035156,23.422945022583008,86.24140167236328
2023-03-10,147.17901611328125,245.18882751464844,22.952205657958984,84.65978240966797
2023-03-13,149.1315155029297,250.44590759277344,22.953203201293945,85.13524627685547
2023-03-14,151.2326202392578,257.221923828125,24.049592971801758,86.63922882080078
2023-03-15,151.6290740966797,261.80828857421875,24.21450424194336,84.1261215209961
2023-03-16,154.46365356445312,272.42108154296875,25.526769638061523,87.10001373291016
2023-03-17,153.62120056152344,275.60687255859375,25.710668563842773,87.26583099365234
2023-03-20,155.99984741210938,268.5054016113281,25.885574340820312,87.82177734375
2023-03-21,157.86312866210938,270.0341491699219,26.184404373168945,90.2211685180664
2023-03-22,156.42601013183594,268.5645446777344,26.4532527923584,90.33821105957031
2023-03-23,157.51622009277344,273.8611145019531,27.175851821899414,92.25968170166016
2023-03-24,158.82447814941406,276.73126220703125,26.764081954956055,90.50402069091797
2023-03-27,156.87200927734375,272.5986328125,26.516220092773438,88.42650604248047
2023-03-28,156.2476043701172,271.4643859863281,26.395288467407227,88.57279205322266
2023-03-29,159.33987426757812,276.672119140625,26.96896743774414,90.4747543334961
2023-03-30,160.91571044921875,280.1636657714844,27.36774444580078,90.19190216064453
2023-03-31,163.43310546875,284.35552978515625,27.761526107788086,90.72835540771484
2023-04-03,164.69183349609375,283.3001403808594,27.949420928955078,90.55278778076172
2023-04-04,164.15663146972656,283.2508544921875,27.43770408630371,89.89929962158203
2023-04-05,162.3032684326172,280.4496765136719,26.866024017333984,87.97782135009766
2023-04-06,163.1952667236328,287.6103820800781,27.02193832397461,88.01683807373047
2023-04-10,160.58865356445312,285.4306335449219,27.563634872436523,86.82689666748047
2023-04-11,159.36959838867188,278.9603271484375,27.153865814208984,87.04147338867188
2023-04-12,158.67584228515625,279.611328125,26.480239868164062,84.72986602783203
2023-04-13,164.08724975585938,285.8743896484375,26.44825553894043,84.90544128417969
2023-04-14,163.74037170410156,282.22509765625,26.743093490600586,85.05172729492188
2023-04-17,163.7601776123047,284.8486022949219,26.986957550048828,85.82227325439453
2023-04-18,164.98916625976562,284.424560546875,27.651586532592773,85.96858215332031
2023-04-19,166.13885498046875,284.50347900390625,27.915435791015625,85.08100128173828
2023-04-20,165.1675567626953,282.1954650878906,27.08890151977539,87.09025573730469
2023-04-21,163.55206298828125,281.85028076171875,27.1038875579834,83.26683044433594
2023-04-24,163.8592987060547,277.91485595703125,27.026933670043945,82.5548095703125
2023-04-25,162.31317138671875,271.6517639160156,26.22637939453125,80.26270294189453
2023-04-26,162.3032684326172,291.32879638671875,26.94097900390625,80.22367858886719
2023-04-27,166.91189575195312,300.6593322753906,27.210834503173828,81.60869598388672
2023-04-28,168.17059326171875,303.0561218261719,27.73354148864746,82.22319030761719
2023-05-01,168.08139038085938,301.3793640136719,28.89389419555664,81.91107177734375
2023-05-02,167.04075622558594,301.2314453125,28.19428062438965,80.91619110107422
2023-05-03,165.96046447753906,300.2352600097656,27.786510467529297,80.66259765625
2023-05-04,164.315185546875,301.2314453125,27.546642303466797,81.43313598632812
2023-05-05,172.02601623535156,306.39971923828125,28.664024353027344,82.87667083740234
2023-05-08,171.95663452148438,304.42706298828125,29.13475799560547,83.43262481689453
2023-05-09,170.24200439453125,302.7996826171875,28.555084228515625,82.96446228027344
2023-05-10,172.01609802246094,308.0370178222656,28.86890983581543,82.80840301513672
2023-05-11,172.20440673828125,305.8670959472656,28.562074661254883,81.3746109008789
